group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
clone_parser,,,,,939752.0,ns,104
clone_parser,,,,,1857186.0,ns,208
clone_parser,,,,,2800548.0,ns,312
clone_parser,,,,,3734603.0,ns,416
clone_parser,,,,,4889873.0,ns,520
clone_parser,,,,,5680946.0,ns,624
clone_parser,,,,,6543437.0,ns,728
clone_parser,,,,,7814499.0,ns,832
clone_parser,,,,,8440474.0,ns,936
clone_parser,,,,,9695274.0,ns,1040
clone_parser,,,,,10483637.0,ns,1144
clone_parser,,,,,11472334.0,ns,1248
clone_parser,,,,,12438966.0,ns,1352
clone_parser,,,,,13536251.0,ns,1456
clone_parser,,,,,14256043.0,ns,1560
clone_parser,,,,,15214657.0,ns,1664
clone_parser,,,,,16229679.0,ns,1768
clone_parser,,,,,16986971.0,ns,1872
clone_parser,,,,,18252342.0,ns,1976
clone_parser,,,,,19075530.0,ns,2080
clone_parser,,,,,19967834.0,ns,2184
clone_parser,,,,,21270679.0,ns,2288
clone_parser,,,,,23733826.0,ns,2392
clone_parser,,,,,25527368.0,ns,2496
clone_parser,,,,,24690802.0,ns,2600
clone_parser,,,,,25495069.0,ns,2704
clone_parser,,,,,27148288.0,ns,2808
clone_parser,,,,,32972149.0,ns,2912
clone_parser,,,,,31412550.0,ns,3016
clone_parser,,,,,32197657.0,ns,3120
clone_parser,,,,,33257823.0,ns,3224
clone_parser,,,,,30874897.0,ns,3328
clone_parser,,,,,31502712.0,ns,3432
clone_parser,,,,,32222153.0,ns,3536
clone_parser,,,,,33372637.0,ns,3640
clone_parser,,,,,34427565.0,ns,3744
clone_parser,,,,,35104797.0,ns,3848
clone_parser,,,,,36385895.0,ns,3952
clone_parser,,,,,36839001.0,ns,4056
clone_parser,,,,,38422638.0,ns,4160
clone_parser,,,,,39305558.0,ns,4264
clone_parser,,,,,40868687.0,ns,4368
clone_parser,,,,,44041013.0,ns,4472
clone_parser,,,,,52024945.0,ns,4576
clone_parser,,,,,54143832.0,ns,4680
clone_parser,,,,,60707903.0,ns,4784
clone_parser,,,,,57481403.0,ns,4888
clone_parser,,,,,58491388.0,ns,4992
clone_parser,,,,,56787164.0,ns,5096
clone_parser,,,,,54585102.0,ns,5200
clone_parser,,,,,52228330.0,ns,5304
clone_parser,,,,,59759102.0,ns,5408
clone_parser,,,,,61646731.0,ns,5512
clone_parser,,,,,60224016.0,ns,5616
clone_parser,,,,,65273082.0,ns,5720
clone_parser,,,,,66514518.0,ns,5824
clone_parser,,,,,68042970.0,ns,5928
clone_parser,,,,,67499415.0,ns,6032
clone_parser,,,,,59028297.0,ns,6136
clone_parser,,,,,58066302.0,ns,6240
clone_parser,,,,,71864835.0,ns,6344
clone_parser,,,,,79044749.0,ns,6448
clone_parser,,,,,75544508.0,ns,6552
clone_parser,,,,,78056800.0,ns,6656
clone_parser,,,,,82809212.0,ns,6760
clone_parser,,,,,85135117.0,ns,6864
clone_parser,,,,,89212940.0,ns,6968
clone_parser,,,,,81260972.0,ns,7072
clone_parser,,,,,81398209.0,ns,7176
clone_parser,,,,,83839699.0,ns,7280
clone_parser,,,,,75860487.0,ns,7384
clone_parser,,,,,68586830.0,ns,7488
clone_parser,,,,,72073510.0,ns,7592
clone_parser,,,,,71856545.0,ns,7696
clone_parser,,,,,73049935.0,ns,7800
clone_parser,,,,,72477166.0,ns,7904
clone_parser,,,,,73604977.0,ns,8008
clone_parser,,,,,74426466.0,ns,8112
clone_parser,,,,,75445437.0,ns,8216
clone_parser,,,,,76254427.0,ns,8320
clone_parser,,,,,76436976.0,ns,8424
clone_parser,,,,,77709471.0,ns,8528
clone_parser,,,,,78812591.0,ns,8632
clone_parser,,,,,79783366.0,ns,8736
clone_parser,,,,,80954022.0,ns,8840
clone_parser,,,,,81402299.0,ns,8944
clone_parser,,,,,83621201.0,ns,9048
clone_parser,,,,,98881357.0,ns,9152
clone_parser,,,,,97598185.0,ns,9256
clone_parser,,,,,86833746.0,ns,9360
clone_parser,,,,,87311988.0,ns,9464
clone_parser,,,,,87504522.0,ns,9568
clone_parser,,,,,97497622.0,ns,9672
clone_parser,,,,,92911281.0,ns,9776
clone_parser,,,,,91620569.0,ns,9880
clone_parser,,,,,94224268.0,ns,9984
clone_parser,,,,,99602651.0,ns,10088
clone_parser,,,,,94158591.0,ns,10192
clone_parser,,,,,110520775.0,ns,10296
clone_parser,,,,,110955509.0,ns,10400
