group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
clone_parser_rc,,,,,1083454.0,ns,228247
clone_parser_rc,,,,,2163456.0,ns,456494
clone_parser_rc,,,,,3278073.0,ns,684741
clone_parser_rc,,,,,4367839.0,ns,912988
clone_parser_rc,,,,,5442212.0,ns,1141235
clone_parser_rc,,,,,6565218.0,ns,1369482
clone_parser_rc,,,,,7634986.0,ns,1597729
clone_parser_rc,,,,,8646436.0,ns,1825976
clone_parser_rc,,,,,9738505.0,ns,2054223
clone_parser_rc,,,,,10483938.0,ns,2282470
clone_parser_rc,,,,,11851500.0,ns,2510717
clone_parser_rc,,,,,12210844.0,ns,2738964
clone_parser_rc,,,,,11729316.0,ns,2967211
clone_parser_rc,,,,,12586478.0,ns,3195458
clone_parser_rc,,,,,13664414.0,ns,3423705
clone_parser_rc,,,,,14573247.0,ns,3651952
clone_parser_rc,,,,,15414432.0,ns,3880199
clone_parser_rc,,,,,16346945.0,ns,4108446
clone_parser_rc,,,,,17202060.0,ns,4336693
clone_parser_rc,,,,,18072091.0,ns,4564940
clone_parser_rc,,,,,18882261.0,ns,4793187
clone_parser_rc,,,,,19850786.0,ns,5021434
clone_parser_rc,,,,,20355864.0,ns,5249681
clone_parser_rc,,,,,18456800.0,ns,5477928
clone_parser_rc,,,,,21682353.0,ns,5706175
clone_parser_rc,,,,,22783332.0,ns,5934422
clone_parser_rc,,,,,24547497.0,ns,6162669
clone_parser_rc,,,,,22478762.0,ns,6390916
clone_parser_rc,,,,,21758482.0,ns,6619163
clone_parser_rc,,,,,22465041.0,ns,6847410
clone_parser_rc,,,,,23442616.0,ns,7075657
clone_parser_rc,,,,,23812602.0,ns,7303904
clone_parser_rc,,,,,24643484.0,ns,7532151
clone_parser_rc,,,,,25596439.0,ns,7760398
clone_parser_rc,,,,,26219340.0,ns,7988645
clone_parser_rc,,,,,27364518.0,ns,8216892
clone_parser_rc,,,,,27601724.0,ns,8445139
clone_parser_rc,,,,,27956558.0,ns,8673386
clone_parser_rc,,,,,29063810.0,ns,8901633
clone_parser_rc,,,,,29883349.0,ns,9129880
clone_parser_rc,,,,,30535085.0,ns,9358127
clone_parser_rc,,,,,31271979.0,ns,9586374
clone_parser_rc,,,,,31863046.0,ns,9814621
clone_parser_rc,,,,,32951897.0,ns,10042868
clone_parser_rc,,,,,33485675.0,ns,10271115
clone_parser_rc,,,,,34752972.0,ns,10499362
clone_parser_rc,,,,,35189972.0,ns,10727609
clone_parser_rc,,,,,35744469.0,ns,10955856
clone_parser_rc,,,,,36228305.0,ns,11184103
clone_parser_rc,,,,,37283693.0,ns,11412350
clone_parser_rc,,,,,38135480.0,ns,11640597
clone_parser_rc,,,,,39385321.0,ns,11868844
clone_parser_rc,,,,,39567939.0,ns,12097091
clone_parser_rc,,,,,41138687.0,ns,12325338
clone_parser_rc,,,,,41393671.0,ns,12553585
clone_parser_rc,,,,,44602215.0,ns,12781832
clone_parser_rc,,,,,51879235.0,ns,13010079
clone_parser_rc,,,,,44248721.0,ns,13238326
clone_parser_rc,,,,,44594894.0,ns,13466573
clone_parser_rc,,,,,44563352.0,ns,13694820
clone_parser_rc,,,,,45884721.0,ns,13923067
clone_parser_rc,,,,,46058112.0,ns,14151314
clone_parser_rc,,,,,46730630.0,ns,14379561
clone_parser_rc,,,,,48002964.0,ns,14607808
clone_parser_rc,,,,,48870672.0,ns,14836055
clone_parser_rc,,,,,48917234.0,ns,15064302
clone_parser_rc,,,,,49951927.0,ns,15292549
clone_parser_rc,,,,,50962022.0,ns,15520796
clone_parser_rc,,,,,51949943.0,ns,15749043
clone_parser_rc,,,,,52833364.0,ns,15977290
clone_parser_rc,,,,,53418587.0,ns,16205537
clone_parser_rc,,,,,53763164.0,ns,16433784
clone_parser_rc,,,,,54778537.0,ns,16662031
clone_parser_rc,,,,,55055153.0,ns,16890278
clone_parser_rc,,,,,56356428.0,ns,17118525
clone_parser_rc,,,,,60701970.0,ns,17346772
clone_parser_rc,,,,,77296911.0,ns,17575019
clone_parser_rc,,,,,64955344.0,ns,17803266
clone_parser_rc,,,,,63797968.0,ns,18031513
clone_parser_rc,,,,,63473184.0,ns,18259760
clone_parser_rc,,,,,61436797.0,ns,18488007
clone_parser_rc,,,,,61037469.0,ns,18716254
clone_parser_rc,,,,,62063650.0,ns,18944501
clone_parser_rc,,,,,62697335.0,ns,19172748
clone_parser_rc,,,,,63812923.0,ns,19400995
clone_parser_rc,,,,,64553118.0,ns,19629242
clone_parser_rc,,,,,65099338.0,ns,19857489
clone_parser_rc,,,,,65225311.0,ns,20085736
clone_parser_rc,,,,,66101929.0,ns,20313983
clone_parser_rc,,,,,67223901.0,ns,20542230
clone_parser_rc,,,,,68232490.0,ns,20770477
clone_parser_rc,,,,,83403921.0,ns,20998724
clone_parser_rc,,,,,71937047.0,ns,21226971
clone_parser_rc,,,,,73121698.0,ns,21455218
clone_parser_rc,,,,,74074569.0,ns,21683465
clone_parser_rc,,,,,71655525.0,ns,21911712
clone_parser_rc,,,,,72797640.0,ns,22139959
clone_parser_rc,,,,,74817040.0,ns,22368206
clone_parser_rc,,,,,75256586.0,ns,22596453
clone_parser_rc,,,,,75486180.0,ns,22824700
