group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
create_parser,,,,,48941819.0,ns,4
create_parser,,,,,48279687.0,ns,4
create_parser,,,,,48243779.0,ns,4
create_parser,,,,,48340601.0,ns,4
create_parser,,,,,48155609.0,ns,4
create_parser,,,,,48480299.0,ns,4
create_parser,,,,,48185032.0,ns,4
create_parser,,,,,48983623.0,ns,4
create_parser,,,,,47991046.0,ns,4
create_parser,,,,,50577456.0,ns,4
create_parser,,,,,51573399.0,ns,4
create_parser,,,,,51489186.0,ns,4
create_parser,,,,,52229789.0,ns,4
create_parser,,,,,54774276.0,ns,4
create_parser,,,,,52401138.0,ns,4
create_parser,,,,,54446555.0,ns,4
create_parser,,,,,53526238.0,ns,4
create_parser,,,,,51642836.0,ns,4
create_parser,,,,,49319764.0,ns,4
create_parser,,,,,52631415.0,ns,4
create_parser,,,,,49541439.0,ns,4
create_parser,,,,,50762347.0,ns,4
create_parser,,,,,50143527.0,ns,4
create_parser,,,,,49905048.0,ns,4
create_parser,,,,,52660590.0,ns,4
create_parser,,,,,51692771.0,ns,4
create_parser,,,,,50120208.0,ns,4
create_parser,,,,,53325329.0,ns,4
create_parser,,,,,49570970.0,ns,4
create_parser,,,,,49395884.0,ns,4
create_parser,,,,,49591671.0,ns,4
create_parser,,,,,49810419.0,ns,4
create_parser,,,,,51675650.0,ns,4
create_parser,,,,,50904333.0,ns,4
create_parser,,,,,49209403.0,ns,4
create_parser,,,,,49478883.0,ns,4
create_parser,,,,,50601264.0,ns,4
create_parser,,,,,49700412.0,ns,4
create_parser,,,,,49335145.0,ns,4
create_parser,,,,,48788178.0,ns,4
create_parser,,,,,48847038.0,ns,4
create_parser,,,,,48559038.0,ns,4
create_parser,,,,,49885554.0,ns,4
create_parser,,,,,49232740.0,ns,4
create_parser,,,,,48813239.0,ns,4
create_parser,,,,,49171628.0,ns,4
create_parser,,,,,49661864.0,ns,4
create_parser,,,,,50466372.0,ns,4
create_parser,,,,,48844965.0,ns,4
create_parser,,,,,49919403.0,ns,4
create_parser,,,,,49068507.0,ns,4
create_parser,,,,,48438867.0,ns,4
create_parser,,,,,49605971.0,ns,4
create_parser,,,,,49085537.0,ns,4
create_parser,,,,,49095316.0,ns,4
create_parser,,,,,49550087.0,ns,4
create_parser,,,,,48590207.0,ns,4
create_parser,,,,,49389221.0,ns,4
create_parser,,,,,48068155.0,ns,4
create_parser,,,,,49047021.0,ns,4
create_parser,,,,,48536647.0,ns,4
create_parser,,,,,48574810.0,ns,4
create_parser,,,,,49138827.0,ns,4
create_parser,,,,,50003389.0,ns,4
create_parser,,,,,48547845.0,ns,4
create_parser,,,,,49719399.0,ns,4
create_parser,,,,,49590868.0,ns,4
create_parser,,,,,48949915.0,ns,4
create_parser,,,,,50226786.0,ns,4
create_parser,,,,,48980945.0,ns,4
create_parser,,,,,49221607.0,ns,4
create_parser,,,,,48530123.0,ns,4
create_parser,,,,,50081405.0,ns,4
create_parser,,,,,48168379.0,ns,4
create_parser,,,,,48704002.0,ns,4
create_parser,,,,,48408801.0,ns,4
create_parser,,,,,48610953.0,ns,4
create_parser,,,,,55122326.0,ns,4
create_parser,,,,,54171838.0,ns,4
create_parser,,,,,54722130.0,ns,4
create_parser,,,,,51578158.0,ns,4
create_parser,,,,,50195289.0,ns,4
create_parser,,,,,49775972.0,ns,4
create_parser,,,,,49542391.0,ns,4
create_parser,,,,,49715285.0,ns,4
create_parser,,,,,49128683.0,ns,4
create_parser,,,,,48642177.0,ns,4
create_parser,,,,,48516285.0,ns,4
create_parser,,,,,49159589.0,ns,4
create_parser,,,,,49510518.0,ns,4
create_parser,,,,,48743718.0,ns,4
create_parser,,,,,49373832.0,ns,4
create_parser,,,,,49989040.0,ns,4
create_parser,,,,,49741601.0,ns,4
create_parser,,,,,49127921.0,ns,4
create_parser,,,,,50341064.0,ns,4
create_parser,,,,,49305400.0,ns,4
create_parser,,,,,49509188.0,ns,4
create_parser,,,,,49811096.0,ns,4
create_parser,,,,,48986520.0,ns,4
