group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parse 293 bytes to FAIL,,,,,944648.0,ns,92
parse 293 bytes to FAIL,,,,,1897518.0,ns,184
parse 293 bytes to FAIL,,,,,2912222.0,ns,276
parse 293 bytes to FAIL,,,,,3882956.0,ns,368
parse 293 bytes to FAIL,,,,,5358983.0,ns,460
parse 293 bytes to FAIL,,,,,6084471.0,ns,552
parse 293 bytes to FAIL,,,,,6730121.0,ns,644
parse 293 bytes to FAIL,,,,,8578528.0,ns,736
parse 293 bytes to FAIL,,,,,8897705.0,ns,828
parse 293 bytes to FAIL,,,,,10352813.0,ns,920
parse 293 bytes to FAIL,,,,,10930950.0,ns,1012
parse 293 bytes to FAIL,,,,,11237909.0,ns,1104
parse 293 bytes to FAIL,,,,,12904788.0,ns,1196
parse 293 bytes to FAIL,,,,,13567987.0,ns,1288
parse 293 bytes to FAIL,,,,,15149299.0,ns,1380
parse 293 bytes to FAIL,,,,,16110425.0,ns,1472
parse 293 bytes to FAIL,,,,,17858844.0,ns,1564
parse 293 bytes to FAIL,,,,,18538814.0,ns,1656
parse 293 bytes to FAIL,,,,,20159589.0,ns,1748
parse 293 bytes to FAIL,,,,,19950028.0,ns,1840
parse 293 bytes to FAIL,,,,,22828174.0,ns,1932
parse 293 bytes to FAIL,,,,,21895909.0,ns,2024
parse 293 bytes to FAIL,,,,,22411323.0,ns,2116
parse 293 bytes to FAIL,,,,,24201879.0,ns,2208
parse 293 bytes to FAIL,,,,,24353534.0,ns,2300
parse 293 bytes to FAIL,,,,,26155683.0,ns,2392
parse 293 bytes to FAIL,,,,,26272082.0,ns,2484
parse 293 bytes to FAIL,,,,,28214062.0,ns,2576
parse 293 bytes to FAIL,,,,,28681532.0,ns,2668
parse 293 bytes to FAIL,,,,,29937576.0,ns,2760
parse 293 bytes to FAIL,,,,,30387963.0,ns,2852
parse 293 bytes to FAIL,,,,,31379656.0,ns,2944
parse 293 bytes to FAIL,,,,,32913146.0,ns,3036
parse 293 bytes to FAIL,,,,,33781675.0,ns,3128
parse 293 bytes to FAIL,,,,,34334682.0,ns,3220
parse 293 bytes to FAIL,,,,,36285129.0,ns,3312
parse 293 bytes to FAIL,,,,,36989319.0,ns,3404
parse 293 bytes to FAIL,,,,,37751672.0,ns,3496
parse 293 bytes to FAIL,,,,,38573562.0,ns,3588
parse 293 bytes to FAIL,,,,,40599137.0,ns,3680
parse 293 bytes to FAIL,,,,,40173089.0,ns,3772
parse 293 bytes to FAIL,,,,,41139297.0,ns,3864
parse 293 bytes to FAIL,,,,,41992251.0,ns,3956
parse 293 bytes to FAIL,,,,,43782640.0,ns,4048
parse 293 bytes to FAIL,,,,,45126236.0,ns,4140
parse 293 bytes to FAIL,,,,,45264608.0,ns,4232
parse 293 bytes to FAIL,,,,,46611231.0,ns,4324
parse 293 bytes to FAIL,,,,,46734811.0,ns,4416
parse 293 bytes to FAIL,,,,,48347139.0,ns,4508
parse 293 bytes to FAIL,,,,,49406076.0,ns,4600
parse 293 bytes to FAIL,,,,,51004495.0,ns,4692
parse 293 bytes to FAIL,,,,,51895286.0,ns,4784
parse 293 bytes to FAIL,,,,,52525990.0,ns,4876
parse 293 bytes to FAIL,,,,,53000630.0,ns,4968
parse 293 bytes to FAIL,,,,,53948750.0,ns,5060
parse 293 bytes to FAIL,,,,,55394394.0,ns,5152
parse 293 bytes to FAIL,,,,,56312848.0,ns,5244
parse 293 bytes to FAIL,,,,,57476279.0,ns,5336
parse 293 bytes to FAIL,,,,,57597620.0,ns,5428
parse 293 bytes to FAIL,,,,,59996787.0,ns,5520
parse 293 bytes to FAIL,,,,,60388270.0,ns,5612
parse 293 bytes to FAIL,,,,,61079609.0,ns,5704
parse 293 bytes to FAIL,,,,,62094322.0,ns,5796
parse 293 bytes to FAIL,,,,,62968679.0,ns,5888
parse 293 bytes to FAIL,,,,,63918446.0,ns,5980
parse 293 bytes to FAIL,,,,,65171490.0,ns,6072
parse 293 bytes to FAIL,,,,,66940452.0,ns,6164
parse 293 bytes to FAIL,,,,,67678053.0,ns,6256
parse 293 bytes to FAIL,,,,,68418713.0,ns,6348
parse 293 bytes to FAIL,,,,,70022128.0,ns,6440
parse 293 bytes to FAIL,,,,,69460410.0,ns,6532
parse 293 bytes to FAIL,,,,,71465954.0,ns,6624
parse 293 bytes to FAIL,,,,,71709418.0,ns,6716
parse 293 bytes to FAIL,,,,,73260719.0,ns,6808
parse 293 bytes to FAIL,,,,,74714455.0,ns,6900
parse 293 bytes to FAIL,,,,,76481482.0,ns,6992
parse 293 bytes to FAIL,,,,,75277874.0,ns,7084
parse 293 bytes to FAIL,,,,,80605473.0,ns,7176
parse 293 bytes to FAIL,,,,,81398789.0,ns,7268
parse 293 bytes to FAIL,,,,,79694259.0,ns,7360
parse 293 bytes to FAIL,,,,,81602871.0,ns,7452
parse 293 bytes to FAIL,,,,,81160403.0,ns,7544
parse 293 bytes to FAIL,,,,,80835451.0,ns,7636
parse 293 bytes to FAIL,,,,,85979015.0,ns,7728
parse 293 bytes to FAIL,,,,,83713808.0,ns,7820
