group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parse 294 bytes,,,,,926721.0,ns,31
parse 294 bytes,,,,,2113753.0,ns,62
parse 294 bytes,,,,,2999849.0,ns,93
parse 294 bytes,,,,,4328032.0,ns,124
parse 294 bytes,,,,,5472062.0,ns,155
parse 294 bytes,,,,,5834744.0,ns,186
parse 294 bytes,,,,,7415726.0,ns,217
parse 294 bytes,,,,,7699339.0,ns,248
parse 294 bytes,,,,,9173747.0,ns,279
parse 294 bytes,,,,,9717160.0,ns,310
parse 294 bytes,,,,,10910904.0,ns,341
parse 294 bytes,,,,,11773654.0,ns,372
parse 294 bytes,,,,,12278903.0,ns,403
parse 294 bytes,,,,,13628903.0,ns,434
parse 294 bytes,,,,,15443368.0,ns,465
parse 294 bytes,,,,,15573113.0,ns,496
parse 294 bytes,,,,,16678935.0,ns,527
parse 294 bytes,,,,,17925315.0,ns,558
parse 294 bytes,,,,,18374626.0,ns,589
parse 294 bytes,,,,,19616543.0,ns,620
parse 294 bytes,,,,,22311259.0,ns,651
parse 294 bytes,,,,,21769758.0,ns,682
parse 294 bytes,,,,,22812745.0,ns,713
parse 294 bytes,,,,,23910347.0,ns,744
parse 294 bytes,,,,,25892329.0,ns,775
parse 294 bytes,,,,,27318841.0,ns,806
parse 294 bytes,,,,,28779414.0,ns,837
parse 294 bytes,,,,,28209441.0,ns,868
parse 294 bytes,,,,,29747938.0,ns,899
parse 294 bytes,,,,,31640651.0,ns,930
parse 294 bytes,,,,,32308261.0,ns,961
parse 294 bytes,,,,,33769807.0,ns,992
parse 294 bytes,,,,,34280669.0,ns,1023
parse 294 bytes,,,,,34808605.0,ns,1054
parse 294 bytes,,,,,34462741.0,ns,1085
parse 294 bytes,,,,,35442774.0,ns,1116
parse 294 bytes,,,,,37332772.0,ns,1147
parse 294 bytes,,,,,37700479.0,ns,1178
parse 294 bytes,,,,,37893522.0,ns,1209
parse 294 bytes,,,,,41533553.0,ns,1240
parse 294 bytes,,,,,40348380.0,ns,1271
parse 294 bytes,,,,,40240885.0,ns,1302
parse 294 bytes,,,,,42109976.0,ns,1333
parse 294 bytes,,,,,41529409.0,ns,1364
parse 294 bytes,,,,,43943452.0,ns,1395
parse 294 bytes,,,,,44911727.0,ns,1426
parse 294 bytes,,,,,49569799.0,ns,1457
parse 294 bytes,,,,,46817639.0,ns,1488
parse 294 bytes,,,,,47459988.0,ns,1519
parse 294 bytes,,,,,49679460.0,ns,1550
parse 294 bytes,,,,,49644682.0,ns,1581
parse 294 bytes,,,,,53141128.0,ns,1612
parse 294 bytes,,,,,53031202.0,ns,1643
parse 294 bytes,,,,,54558053.0,ns,1674
parse 294 bytes,,,,,57933795.0,ns,1705
parse 294 bytes,,,,,57563033.0,ns,1736
parse 294 bytes,,,,,62113960.0,ns,1767
parse 294 bytes,,,,,62196127.0,ns,1798
parse 294 bytes,,,,,67848846.0,ns,1829
parse 294 bytes,,,,,66402204.0,ns,1860
parse 294 bytes,,,,,68009213.0,ns,1891
parse 294 bytes,,,,,64183105.0,ns,1922
parse 294 bytes,,,,,64015619.0,ns,1953
parse 294 bytes,,,,,66477375.0,ns,1984
parse 294 bytes,,,,,68578632.0,ns,2015
parse 294 bytes,,,,,73380643.0,ns,2046
parse 294 bytes,,,,,73692991.0,ns,2077
parse 294 bytes,,,,,70290863.0,ns,2108
parse 294 bytes,,,,,67438046.0,ns,2139
parse 294 bytes,,,,,69639911.0,ns,2170
parse 294 bytes,,,,,69976923.0,ns,2201
parse 294 bytes,,,,,70787852.0,ns,2232
parse 294 bytes,,,,,74644934.0,ns,2263
parse 294 bytes,,,,,76215907.0,ns,2294
parse 294 bytes,,,,,77243924.0,ns,2325
parse 294 bytes,,,,,76437545.0,ns,2356
parse 294 bytes,,,,,76452733.0,ns,2387
parse 294 bytes,,,,,76630850.0,ns,2418
parse 294 bytes,,,,,78235917.0,ns,2449
parse 294 bytes,,,,,78339100.0,ns,2480
parse 294 bytes,,,,,81186354.0,ns,2511
parse 294 bytes,,,,,87230393.0,ns,2542
parse 294 bytes,,,,,95135947.0,ns,2573
parse 294 bytes,,,,,83944291.0,ns,2604
parse 294 bytes,,,,,84233388.0,ns,2635
parse 294 bytes,,,,,84080980.0,ns,2666
parse 294 bytes,,,,,86556573.0,ns,2697
parse 294 bytes,,,,,87992928.0,ns,2728
parse 294 bytes,,,,,87878429.0,ns,2759
parse 294 bytes,,,,,89044818.0,ns,2790
parse 294 bytes,,,,,89785277.0,ns,2821
parse 294 bytes,,,,,106175244.0,ns,2852
parse 294 bytes,,,,,97919714.0,ns,2883
parse 294 bytes,,,,,97380667.0,ns,2914
parse 294 bytes,,,,,104165281.0,ns,2945
parse 294 bytes,,,,,101345840.0,ns,2976
parse 294 bytes,,,,,96072664.0,ns,3007
parse 294 bytes,,,,,95723874.0,ns,3038
parse 294 bytes,,,,,100538184.0,ns,3069
parse 294 bytes,,,,,108574310.0,ns,3100
