group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parse generated script,,"(6, 19257)",,,51371705.0,ns,23
parse generated script,,"(6, 19257)",,,49646873.0,ns,23
parse generated script,,"(6, 19257)",,,48170053.0,ns,23
parse generated script,,"(6, 19257)",,,47748778.0,ns,23
parse generated script,,"(6, 19257)",,,48075984.0,ns,23
parse generated script,,"(6, 19257)",,,46237272.0,ns,23
parse generated script,,"(6, 19257)",,,44014272.0,ns,23
parse generated script,,"(6, 19257)",,,43356782.0,ns,23
parse generated script,,"(6, 19257)",,,43374954.0,ns,23
parse generated script,,"(6, 19257)",,,41959355.0,ns,23
parse generated script,,"(6, 19257)",,,41919305.0,ns,23
parse generated script,,"(6, 19257)",,,43563939.0,ns,23
parse generated script,,"(6, 19257)",,,49175932.0,ns,23
parse generated script,,"(6, 19257)",,,49938061.0,ns,23
parse generated script,,"(6, 19257)",,,47730346.0,ns,23
parse generated script,,"(6, 19257)",,,49041991.0,ns,23
parse generated script,,"(6, 19257)",,,49383673.0,ns,23
parse generated script,,"(6, 19257)",,,50696056.0,ns,23
parse generated script,,"(6, 19257)",,,51935688.0,ns,23
parse generated script,,"(6, 19257)",,,48144179.0,ns,23
parse generated script,,"(6, 19257)",,,47609960.0,ns,23
parse generated script,,"(6, 19257)",,,47826854.0,ns,23
parse generated script,,"(6, 19257)",,,47345255.0,ns,23
parse generated script,,"(6, 19257)",,,48776573.0,ns,23
parse generated script,,"(6, 19257)",,,44647623.0,ns,23
parse generated script,,"(6, 19257)",,,44588206.0,ns,23
parse generated script,,"(6, 19257)",,,44841287.0,ns,23
parse generated script,,"(6, 19257)",,,49435679.0,ns,23
parse generated script,,"(6, 19257)",,,45468657.0,ns,23
parse generated script,,"(6, 19257)",,,45096879.0,ns,23
parse generated script,,"(6, 19257)",,,43515715.0,ns,23
parse generated script,,"(6, 19257)",,,44007519.0,ns,23
parse generated script,,"(6, 19257)",,,44319699.0,ns,23
parse generated script,,"(6, 19257)",,,48510265.0,ns,23
parse generated script,,"(6, 19257)",,,46957823.0,ns,23
parse generated script,,"(6, 19257)",,,48663797.0,ns,23
parse generated script,,"(6, 19257)",,,50036184.0,ns,23
parse generated script,,"(6, 19257)",,,53552840.0,ns,23
parse generated script,,"(6, 19257)",,,49762710.0,ns,23
parse generated script,,"(6, 19257)",,,45362177.0,ns,23
parse generated script,,"(6, 19257)",,,43862486.0,ns,23
parse generated script,,"(6, 19257)",,,44332970.0,ns,23
parse generated script,,"(6, 19257)",,,48000194.0,ns,23
parse generated script,,"(6, 19257)",,,52808632.0,ns,23
parse generated script,,"(6, 19257)",,,50281611.0,ns,23
parse generated script,,"(6, 19257)",,,52223742.0,ns,23
parse generated script,,"(6, 19257)",,,52199058.0,ns,23
parse generated script,,"(6, 19257)",,,46073249.0,ns,23
parse generated script,,"(6, 19257)",,,45573466.0,ns,23
parse generated script,,"(6, 19257)",,,44153782.0,ns,23
parse generated script,,"(6, 19257)",,,43361809.0,ns,23
parse generated script,,"(6, 19257)",,,43664065.0,ns,23
parse generated script,,"(6, 19257)",,,43877447.0,ns,23
parse generated script,,"(6, 19257)",,,46468645.0,ns,23
parse generated script,,"(6, 19257)",,,43861328.0,ns,23
parse generated script,,"(6, 19257)",,,58299567.0,ns,23
parse generated script,,"(6, 19257)",,,51350293.0,ns,23
parse generated script,,"(6, 19257)",,,51388570.0,ns,23
parse generated script,,"(6, 19257)",,,51847873.0,ns,23
parse generated script,,"(6, 19257)",,,50005726.0,ns,23
parse generated script,,"(6, 19257)",,,52425107.0,ns,23
parse generated script,,"(6, 19257)",,,52324994.0,ns,23
parse generated script,,"(6, 19257)",,,52146682.0,ns,23
parse generated script,,"(6, 19257)",,,48490981.0,ns,23
parse generated script,,"(6, 19257)",,,44915973.0,ns,23
parse generated script,,"(6, 19257)",,,48226377.0,ns,23
parse generated script,,"(6, 19257)",,,49288521.0,ns,23
parse generated script,,"(6, 19257)",,,50974987.0,ns,23
parse generated script,,"(6, 19257)",,,46562928.0,ns,23
parse generated script,,"(6, 19257)",,,44449629.0,ns,23
parse generated script,,"(6, 19257)",,,45467864.0,ns,23
parse generated script,,"(6, 19257)",,,49913876.0,ns,23
parse generated script,,"(6, 19257)",,,49066485.0,ns,23
parse generated script,,"(6, 19257)",,,47722611.0,ns,23
parse generated script,,"(6, 19257)",,,47257996.0,ns,23
parse generated script,,"(6, 19257)",,,44307040.0,ns,23
parse generated script,,"(6, 19257)",,,43318176.0,ns,23
parse generated script,,"(6, 19257)",,,41765682.0,ns,23
parse generated script,,"(6, 19257)",,,42111731.0,ns,23
parse generated script,,"(6, 19257)",,,44483750.0,ns,23
parse generated script,,"(6, 19257)",,,41960095.0,ns,23
parse generated script,,"(6, 19257)",,,46155429.0,ns,23
parse generated script,,"(6, 19257)",,,48034645.0,ns,23
parse generated script,,"(6, 19257)",,,57045285.0,ns,23
parse generated script,,"(6, 19257)",,,55009590.0,ns,23
parse generated script,,"(6, 19257)",,,52802389.0,ns,23
parse generated script,,"(6, 19257)",,,52348142.0,ns,23
parse generated script,,"(6, 19257)",,,51329094.0,ns,23
parse generated script,,"(6, 19257)",,,51724815.0,ns,23
parse generated script,,"(6, 19257)",,,51870436.0,ns,23
parse generated script,,"(6, 19257)",,,52070489.0,ns,23
parse generated script,,"(6, 19257)",,,51918319.0,ns,23
parse generated script,,"(6, 19257)",,,51433216.0,ns,23
parse generated script,,"(6, 19257)",,,53914071.0,ns,23
parse generated script,,"(6, 19257)",,,54754990.0,ns,23
parse generated script,,"(6, 19257)",,,45998831.0,ns,23
parse generated script,,"(6, 19257)",,,49849093.0,ns,23
parse generated script,,"(6, 19257)",,,49312647.0,ns,23
parse generated script,,"(6, 19257)",,,49786273.0,ns,23
parse generated script,,"(6, 19257)",,,48989234.0,ns,23
